WORD_LOWER;AROUSAL_MEAN
einengen;3,5
einfall;3,1
einfalt;2,6
eingehen;2,2
einheit;2,2
einigung;2,0
einklang;1,5
einladen;2,5
einladung;2,6
einnahme;2,4
einsam;3,1
einsatz;2,8
einsetzen;2,7
einsicht;2,1
einstellen;2,2
einsturz;4,1
eintracht;1,8
eintreten;2,1
eintritt;2,8
eis;2,8
eitel;3,1
ekel;4,0
ekstase;4,5
elch;2,9
elefant;3,0
elend;4,1
embargo;3,2
emotion;3,1
empfangen;2,8
empfehlen;2,3
empfinden;2,3
ende;2,8
enden;2,8
endziel;3,8
energie;3,5
engel;2,2
enkel;2,3
entdecken;3,2
ente;2,4
entfallen;2,4
entfernen;2,9
entfernung;2,4
enthalten;2,2
entlassen;3,3
entsetzt;3,6
entstehen;2,1
entwurf;2,1
entziehen;1,9
entzug;3,4
erbe;2,8
erbeten;2,2
erbin;3,3
erbitten;2,7
erbse;1,6
erdbeben;4,5
erdbeere;2,8
erde;2,4
erfahren;2,7
erfahrung;3,4
erfassen;2,4
erfinder;2,7
erfolg;3,3
erfolgen;2,5
erfordern;2,0
erfüllen;2,9
erfüllung;2,3
ergänzen;2,2
ergeben;2,5
ergebnis;2,8
ergreifen;2,4
erhalten;2,1
erheben;2,1
erholung;1,3
erinnern;3,0
erinnerung;2,9
erkennen;2,8
erkenntnis;3,4
erlauben;1,9
erleben;3,1
erlebnis;2,8
erledigen;3,0
erleiden;3,7
ermitteln;2,5
ernte;2,0
erotik;4,4
erreger;3,9
erreichen;2,5
errichten;2,2
errichtung;2,0
ersaufen;3,4
ersetzen;2,2
erteilen;1,8
ertrag;2,3
erwarten;2,7
erwartung;3,4
erweitern;1,9
erwerb;2,7
erwerben;2,3
erzählen;2,8
erzeugen;2,6
erzeuger;3,1
erzeugnis;2,4
erzfeind;3,7
erzielen;2,5
esel;2,7
essen;3,5
essig;2,6
ethik;3,2
eule;2,1
euphorie;3,8
euter;2,4
ewigkeit;2,2
existenz;3,2
fabel;2,1
fabrik;2,3
fächer;2,1
faden;1,8
fähigkeit;3,0
fahndung;3,3
fahne;2,0
fahren;2,6
fahrer;2,5
fahrrad;3,0
fahrt;2,4
fall;2,8
falle;4,0
fallen;2,6
fällen;2,1
falte;2,0
familie;2,3
fangen;3,0
fantasie;2,9
farbe;2,2
fasan;2,1
fasching;2,8
faschismus;4,0
fassade;2,2
fassen;2,1
faust;3,2
feder;1,7
fee;2,4
fehde;3,2
fehlen;2,9
fehler;3,2
feier;3,4
feiern;3,3
feiertag;1,9
feigling;3,4
feile;2,4
feind;4,2
fenster;1,9
ferien;2,3
fernrohr;2,4
fernsehen;2,3
ferse;2,1
fessel;4,1
fest;2,9
festlegen;2,4
festtag;2,8
festung;3,4
fett;3,5
feucht;3,5
feuer;3,7
feurig;4,2
fibel;1,9
fichte;1,8
fieber;3,7
figur;2,5
film;2,6
filmstar;3,1
filter;2,2
finale;3,5
finden;2,5
finder;1,9
finger;2,1
firma;2,4
fisch;2,4
flagge;2,5
flamingo;2,7
flamme;3,3
flasche;2,0
flaute;2,1
flegel;2,4
fleisch;3,1
flexibel;2,4
fliege;2,2
fliegen;3,5
fließen;2,0
flirt;4,4
floß;3,0
flöte;2,3
fluch;3,7
flucht;3,9
flüchtling;3,2
flughafen;3,5
flugzeug;3,3
flut;3,6
fohlen;2,4
föhn;2,3
folge;2,6
folter;4,7
foltern;4,4
fordern;2,7
fördern;2,1
forderung;3,0
förderung;2,5
form;2,2
forsch;3,3
forscher;2,7
forschung;2,8
fortsetzen;2,3
fortuna;2,7
foto;3,3
fracht;2,6
frage;2,3
fragen;2,4
fraktion;2,3
frau;2,5
fräulein;3,0
fraulich;2,5
freier;3,4
freiheit;4,0
freitod;3,8
freizeit;2,9
freude;3,4
freudig;2,9
freudlos;2,4
freuen;3,1
freund;2,1
frevel;3,4
friede;1,4
frieden;1,6
friedhof;3,2
frist;3,2
frisur;2,7
froh;2,3
fromm;2,3
front;3,5
frosch;2,8
frühjahr;2,4
fuchs;3,5
fühlen;3,5
führer;3,9
führung;2,4
füllen;2,1
füller;2,3
fund;2,7
funke;3,1
funktionär;2,2
furcht;4,4
fürchten;3,9
fusion;2,6
futter;2,4
gabel;2,1
galgen;4,1
galle;2,8
ganove;3,7
gans;2,9
garaus;3,3
garten;1,6
gas;3,4
gast;2,3
gatte;3,0
gauner;3,6
gebein;2,7
gebet;2,7
gebiet;2,3
gebot;2,8
geburt;4,2
geburtstag;3,1
gedanke;2,6
gedenken;2,7
gedicht;2,9
geduld;1,8
gefahr;4,4
gefährden;3,9
gefallen;2,4
gefängnis;3,1
gefühl;3,1
gegend;1,9
gegensatz;3,1
gegenteil;2,8
gegner;3,6
gehalt;2,8
geheim;3,2
geheimnis;3,8
gehen;2,3
geheul;3,7
gehirn;3,3
gehören;2,2
geier;3,2
geige;2,6
geisel;4,4
geist;2,8
geiz;3,6
gejammer;3,2
gekicher;3,1
gelaunt;2,6
geld;2,9
geldgier;3,8
gelenk;2,3
geliebte;3,8
gelingen;2,6
gelten;2,1
gemein;3,9
gemeinde;2,1
gemetzel;4,3
gemse;1,9
gemüse;1,8
general;2,8
genial;3,5
genie;3,7
genießen;2,1
genosse;2,8
gerede;3,1
gericht;3,4
geruch;2,7
gesang;2,1
geschehen;2,5
geschenk;3,5
geschichte;2,7
geschrei;3,9
gesetz;2,7
gesicht;2,7
gesindel;3,1
gespräch;2,7
gestalten;2,1
gestaltung;2,5
gestank;3,6
geste;2,1
gestehen;3,1
gesund;1,6
gesundheit;2,2
gewalt;4,4
geweih;2,6
gewicht;3,3
gewinn;3,9
gewinnen;3,2
gewissen;3,3
gewitter;3,6
ghetto;4,1
giebel;2,2
gierig;3,9
gift;4,0
giftgas;4,2
gigant;3,8
giraffe;2,8
girlande;2,9
gitarre;3,0
gitter;2,6
glanz;2,6
glas;1,8
glaube;3,1
glauben;2,6
globus;2,3
glocke;2,4
glück;2,9
glut;3,1
gnade;2,3
gold;2,5
gott;2,5
grab;3,8
granate;4,1
grandios;3,4
gras;1,6
gratis;2,6
grausam;3,9
greifen;2,1
grenze;3,0
greuel;3,9
grinsen;3,2
großmacht;3,7
grube;2,5
grund;2,3
gründen;2,3
grundlage;2,2
grundstück;2,0
gründung;2,5
gruppe;2,4
gruselig;3,7
gruß;1,7
gummi;2,3
gurgel;2,7
gurke;1,6
gurt;2,0
gürtel;2,2
gutartig;1,9
guttun;1,6
habgier;3,7
hafen;2,0
hafer;1,5
haftung;2,8
hagel;3,0
hahn;2,2
hai;3,3
halbtot;2,8
halle;2,1
halunke;3,5
hammer;3,0
hamster;2,4
hand;1,8
handikap;3,1
hanf;2,3
hängen;2,5
hantel;2,5
harfe;1,5
harmonie;1,8
hase;2,8
hassen;4,4
haube;2,2
haus;1,8
hausfrau;2,3
haushalt;2,1
haustier;2,2
hebel;2,3
heben;2,1
hefe;1,8
hehlerei;3,4
heide;1,6
heilfroh;2,3
heilung;2,4
heimat;1,8
heimkehr;2,7
heirat;3,3
heiraten;3,8
heißen;2,1
heiter;2,7
heizung;1,8
held;3,5
helfen;3,1
helfer;2,4
hemd;2,0
hemmnis;3,0
henker;4,2
henne;2,1
herbst;1,7
herd;2,6
herde;2,4
hering;2,2
heroisch;2,9
herr;2,6
herrschaft;3,2
herrschen;3,3
herstellen;2,1
herz;3,3
herzlos;2,3
hetzen;3,9
hetzer;3,8
heucheln;3,9
heulen;3,9
hexe;3,1
hilfe;3,0
hilflos;4,0
himbeere;2,5
himmel;1,7
hinweis;2,5
hirsch;2,9
hirse;1,6
hirte;2,2
hitze;3,8
hobby;2,9
hobel;2,1
hochmut;3,3
hochschule;3,4
hochzeit;3,5
hocker;2,0
hoffen;2,4
hoffnung;2,6
höhe;3,3
höhepunkt;4,1
holen;2,0
honig;1,6
horde;3,2
hormon;3,3
hornisse;3,7
horoskop;2,9
horror;4,4
hose;2,0
hotel;2,5
huhn;2,4
human;2,1
hummer;2,6
humor;3,8
humorlos;2,3
hunger;3,6
hupe;3,5
hure;3,8
hypnose;3,2
hypothek;3,1
ideell;2,5
idiot;3,2
idylle;1,8
igel;2,6
iglu;2,7
illegal;3,5
imker;2,2
impfung;2,8
import;1,8
impuls;3,6
industrie;2,5
inferno;4,3
inhalt;2,3
initiative;3,3
insekt;3,0
insel;2,2
instinkt;3,5
instrument;3,3
intensiv;3,9
interesse;3,2
intim;3,8
intrige;3,9
irre;3,8
irrlehre;3,3
irrsinn;4,1
irrtum;3,2
islam;3,1
jacke;2,2
japan;2,1
jauche;3,2
jawort;2,8
jazz;3,6
job;3,5
jubel;3,6
jugend;3,3
junge;2,8
jungfrau;2,3
justiz;3,3
juwel;2,8
kabel;2,3
käfer;2,9
kaffee;2,3
käfig;3,3
kakao;1,5
kaktee;2,4
kaktus;2,4
kalorie;2,8
kamel;2,3
kamera;3,0
kamerad;2,4
kamin;1,5
kamm;1,9
kammer;2,1
kampf;4,0
kämpfen;3,8
kampflos;2,3
kanal;2,2
kandidatur;2,8
känguruh;3,0
kanne;1,7
kanon;2,0
kanone;3,9
kante;2,6
kanzel;1,9
kanzler;2,4
kappe;2,1
karaffe;2,0
kargheit;2,6
karriere;3,2
karte;2,4
kartei;2,0
karton;1,8
käse;2,3
kasino;2,5
kasperl;2,8
kasse;2,3
kassette;2,1
kastanie;2,1
kater;2,6
katze;2,1
kauf;3,0
kaufen;3,2
kegel;2,0
kehle;3,2
kehren;2,2
keks;2,4
keller;2,7
kennen;2,4
kenntnis;2,2
kerbe;2,6
kerker;4,1
kerze;1,6
kette;2,8
ketzer;3,8
keule;2,9
kichern;3,0
kiefer;1,8
kiesel;1,6
killer;4,3
kind;2,4
kiosk;2,0
kirche;2,3
kirsche;2,7
kissen;1,6
kiste;1,9
kitsch;2,5
klage;3,5
klang;1,6
klären;2,8
klarheit;2,2
klasse;2,7
klassik;3,1
klaue;3,5
klauen;3,6
klavier;2,4
klee;1,4
klette;2,3
klient;2,8
klima;2,2
klinge;3,7
klingel;2,7
klinik;3,3
klinke;1,9
klippe;3,4
klischee;3,4
kloster;1,8
klugheit;2,8
knabe;2,2
knausern;2,1
knebel;4,0
knebeln;3,7
kneipe;2,4
knochen;3,0
knospe;2,2
koalition;2,3
kobold;2,5
kobra;3,6
koffer;2,3
kohle;2,6
kohlrabi;2,1
kollaps;4,2
kollege;2,6
kollektiv;2,9
komet;3,4
komfort;1,8
komik;3,1
komisch;2,6
komitee;2,7
komma;1,9
kommen;2,6
kommission;2,1
kommode;1,8
kommunist;2,9
kompass;2,6
komplize;3,4
komplott;3,7
kondom;3,5
konflikt;3,7
konkurrenz;3,3
konkurs;3,3
können;2,7
konsequenz;3,5
kontakt;2,8
konto;3,3
kontrolle;2,7
konzert;2,5
kopflos;3,1
kopie;1,9
koran;3,0
korb;1,9
korrupt;3,4
kosmetik;2,2
kosten;3,0
kraft;3,0
kraftlos;2,7
kralle;2,7
krank;3,4
krankheit;3,8
kranz;2,2
krawatte;2,3
kreativ;2,9
kredit;3,3
kreide;2,1
kreis;1,9
kreisel;2,9
kreuz;2,4
krieg;4,6
kriegen;3,2
krimi;3,3
krise;3,6
kritik;3,4
krokodil;4,0
krokus;1,9
krone;2,6
krücke;3,5
kruzifix;2,8
kuchen;2,0
kugel;2,0
kuhle;1,8
küken;3,1
kult;2,8
kultur;2,4
kummer;3,7
kümmern;1,9
kumpan;2,1
kunde;2,3
kündigen;2,9
kunst;2,4
künstler;2,9
kupfer;1,9
kuppe;2,2
kürbis;2,4
kurort;2,2
kurve;2,8
küssen;3,2
küste;1,8
kutsche;2,5
labil;3,1
labor;2,6
lächeln;2,4
lachen;2,8
ladung;2,8
lage;1,8
lager;2,1
laken;1,9
lampe;2,1
landschaft;2,8
lanze;2,6
larve;2,7
last;3,4
laster;3,2
latein;2,3
laterne;2,2
laube;1,8
lauer;2,5
laufbahn;2,3
laufen;2,0
lauge;2,4
laune;3,2
launisch;3,2
laut;3,5
lawine;4,1
leben;2,7
lebendig;3,1
leblos;3,5
leder;2,2
leere;2,4
legen;1,8
lehre;2,8
lehrer;2,4
lehrerin;2,7
lehrhaft;2,4
lehrjahr;2,3
lehrling;2,8
lehrzeit;2,4
leib;2,8
leiche;4,1
leichnam;3,9
leichte;2,1
leid;4,2
leiden;3,8
leiern;1,9
leim;2,1
leine;2,5
leinwand;1,9
leisten;2,4
leistung;3,1
leitbild;2,4
leiter;2,3
leittier;2,4
lektion;2,9
lende;2,5
lenkbar;2,6
lenken;2,3
lenker;2,0
lenkrad;2,1
lenkung;2,4
lenz;1,9
leopard;3,3
lepra;4,0
lerche;1,7
lernbar;2,0
lernen;2,5
lesebuch;2,7
leser;2,1
lesesaal;1,3
lesung;2,0
letzte;3,2
leuchte;2,4
leuchten;2,5
leugnen;3,5
leugnung;3,3
leumund;1,7
leute;2,9
lexikon;2,6
liaison;3,2
libelle;1,9
liberal;2,2
licht;2,6
lichtung;2,1
lid;1,8
lieb;2,2
liebe;3,6
liebelei;3,9
lieben;3,7
lieblos;3,3
liebreiz;3,1
lied;1,9
liefern;2,1
liege;1,5
liegen;2,2
lift;2,6
lilie;1,6
limit;3,1
limonade;1,7
linde;1,4
lindern;1,7
lineal;2,1
linie;1,8
linse;1,9
lippe;2,3
liquide;1,9
list;3,3
liste;2,4
listig;3,2
litanei;2,5
liter;1,9
literatur;3,0
lizenz;2,8
lob;2,7
lobby;2,5
loben;2,3
loblied;2,2
loch;2,4
locher;1,8
locken;2,9
lodern;3,1
löffel;2,1
logik;2,4
logisch;1,8
lohn;2,7
lorbeer;2,1
lösen;2,6
lossagen;2,2
losung;2,8
lösung;2,4
lotse;2,2
lotterie;3,2
lotto;2,5
lotus;1,9
löwe;4,1
loyal;2,1
luder;3,8
luft;2,2
luftloch;3,0
luftraum;2,1
lug;2,4
lüge;4,1
lukrativ;2,5
lump;2,9
lunge;2,8
lupe;2,3
lust;3,7
lustlos;2,3
lutschen;2,4
lutscher;2,6
luxus;2,9
lynchen;4,2
lyrik;3,2
machen;2,5
macher;3,0
macht;4,2
machtlos;3,0
mädchen;2,7
madeira;2,6
madonna;2,6
mafia;4,2
magazin;2,4
magd;2,8
magen;2,4
mager;3,3
magie;3,2
magier;3,4
magisch;2,8
magma;3,1
magnet;2,2
mahl;2,1
mahlzeit;2,1
mahnen;3,1
mahnmal;3,5
mahnung;3,9
mai;2,4
maibaum;2,1
mais;2,2
makaber;2,9
makel;2,8
makellos;2,8
makler;2,2
malaria;4,0
maler;2,1
malerei;2,1
mama;2,4
manager;2,8
manege;2,4
mangel;3,1
mango;2,4
manie;3,8
manko;2,8
mann;2,4
mannschaft;2,5
mantel;1,9
manuell;2,1
mappe;2,1
markant;3,1
marke;2,2
markt;2,4
marotte;2,6
marter;3,4
martern;3,8
marxist;2,5
masche;2,1
maske;3,4
massage;1,6
massaker;4,6
masse;2,2
massiv;3,2
maßnahme;2,4
matratze;2,4
matt;1,6
matte;1,7
mauer;2,8
maul;2,9
maulen;3,2
maulkorb;3,5
maus;3,3
mausgrau;1,7
maximal;2,6
maximum;3,2
mechanik;2,3
medaille;2,9
medizin;2,8
meer;2,7
mehrheit;2,5
meiden;3,0
meineid;3,4
meinen;2,3
meinung;2,7
meise;1,9
meister;2,8
meistern;2,9
melden;2,3
melodie;2,2
melodram;3,6
melone;2,3
menge;2,7
mensa;2,0
mensch;2,7
menschheit;3,2
mentor;1,9
mephisto;3,5
merkmal;2,5
messer;3,5
metall;2,7
meter;2,2
metzger;3,3
meute;3,4
meuterei;3,6
meutern;3,8
mickrig;2,2
miene;2,9
mies;3,6
miete;2,5
mieten;2,5
